Name,Abbr,Region
Austin County,AU,Houston
Brazoria County,,Galveston
Chambers County,,Galveston
Colorado County,CD,Houston
Culberson County,CU,El Paso
El Paso County,EP,El Paso
Fort Bend County,FB,Houston
Galveston County,,Galveston
Hardin County,,Galveston
Harris County,HR,Houston
Hudspeth County,HZ,El Paso
Jasper County,,Galveston
Jefferson County,,Galveston
Liberty County,,Galveston
Matagorda County,MG,Houston
Montgomery County,MQ,Houston
Newton County,,Galveston
Orange County,,Galveston
Walker County,WA,Houston
Waller County,WL,Houston
Wharton County,WH,Houston
